timestamp,open,high,low,close,volume,spread
1704067200000,100.0,101.0,99.5,100.5,1000,0.01
1704067260000,100.5,101.5,100.1,101.2,1100,0.01
1704067320000,101.2,101.8,100.8,101.0,900,0.01
1704067380000,101.0,102.0,100.7,101.9,1200,0.01
1704067440000,101.9,102.2,101.0,101.1,1300,0.01
1704067500000,101.1,101.4,100.2,100.4,1400,0.01
1704067560000,100.4,100.8,99.8,100.0,1000,0.01
1704067620000,100.0,100.6,99.7,100.5,1000,0.01
1704067680000,100.5,101.1,100.0,100.9,1050,0.01
1704067740000,100.9,101.6,100.5,101.5,1080,0.01
1704067800000,101.5,101.7,100.6,100.8,1150,0.01
1704067860000,100.8,101.0,99.9,100.1,980,0.01
1704067920000,100.1,100.4,99.5,99.8,990,0.01
1704067980000,99.8,100.2,99.1,99.4,1010,0.01
1704068040000,99.4,100.0,99.0,99.9,1110,0.01
1704068100000,99.9,100.8,99.6,100.7,1250,0.01
1704068160000,100.7,101.4,100.3,101.2,1260,0.01
1704068220000,101.2,101.9,100.9,101.7,1300,0.01
1704068280000,101.7,102.1,101.0,101.1,1200,0.01
1704068340000,101.1,101.3,100.4,100.6,1180,0.01
